NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDE5,HDE3,HDE1,FDC5,FDC2,HDC3,FDC9,FDE1,HDC4,FDC1
Bella,0,X1,FDE3,HDE1,HDE3,FDC10,FDE5,FDC8,FDC3,HDC3,HDC2,FDC2
Caleb,0,X1,FDC5,FDC7,FDC1,HDE3,FDC9,HDE1,HDC3,HDC4,FDE1,FDE3
Delilah,0,X1,HDE4,HDE3,FDC4,FDE5,FDC8,HDC4,FDC7,FDE3,FDC1,HDC1
Ethan,0,X1,HDE1,FDC1,FDE3,FDC6,HDC1,HDE3,FDC5,FDC2,HDC2,FDE6
Fiona,0,X1,FDC7,HDC3,HDE1,FDE4,HDC4,FDC11,FDC4,FDE5,FDC10,HDE3
Gabriel,0,X1,FDE2,HDE4,HDE2,HDC3,HDC2,FDE3,FDC1,FDC7,FDC11,FDC8
Hannah,0,X1,HDC2,FDC2,HDE1,FDC4,FDE1,FDE5,HDE4,FDC8,FDC11,HDC1
Isaac,0,X1,FDC1,HDC4,FDE4,HDC1,FDC6,HDE1,FDC11,FDE2,HDE2,FDC4
Jasmine,0,X1,HDC4,FDE4,FDC3,FDC9,FDE2,FDC4,FDC7,HDE3,HDC3,HDE1
Kaden,0,X2,FDC6,FDE3,HDC2,FDC9,FDC11,HDE1,FDC3,FDE2,HDC3,HDE2
Lily,0,X2,FDC7,HDC1,FDC3,FDE2,HDC3,FDC10,FDC2,HDE1,HDE4,FDE5
Mason,0,X2,FDC3,HDC4,FDC7,HDE1,HDE2,FDC8,HDC2,FDC5,FDE2,FDE1
Nora,0,X2,FDC2,FDC10,FDC4,HDC4,FDC8,HDC3,FDE2,HDE1,HDE3,FDE1
Oliver,0,X2,HDE1,HDC4,FDE2,FDC6,HDE3,FDC3,FDE1,HDC1,FDC1,FDC9
Penelope,0,X2,FDC7,FDE6,FDE3,HDE3,HDC1,HDE1,FDC9,FDC1,HDC2,FDC6
Quentin,0,X2,HDC3,FDC1,FDC6,HDE2,HDC1,FDC4,HDE1,FDC10,FDE5,FDE4
Rose,0,X2,FDC7,FDE5,HDE3,HDC4,HDE1,FDC11,HDC1,FDC3,FDE6,FDC8
Sebastian,0,X3,FDE3,HDC3,FDE6,FDC4,HDC2,FDC2,HDE1,HDE2,FDC1,FDC10
Tessa,0,X3,FDE2,HDC4,FDC5,FDE6,FDC7,HDE4,FDC4,HDE2,FDC6,HDC1
Uriel,0,X3,FDE6,FDC3,HDC1,HDE1,FDE1,HDE2,FDC1,FDC4,FDC5,HDC2
Violet,0,X3,HDC2,HDC3,FDC10,FDC6,HDE1,FDC11,FDC3,FDE1,HDE4,FDE3
William,0,X3,HDC3,FDE6,FDC6,FDC4,FDC9,HDE3,HDE1,FDE4,HDC4,FDC8
Xena,0,X3,FDC10,HDE4,HDE2,HDC2,FDC8,FDC6,FDE4,HDC1,FDC4,FDE3
Yosef,0,X3,FDE4,FDE3,HDC1,FDC8,HDE2,FDC2,HDE4,FDC3,HDC2,FDC1
Daniel,0,X3,FDC5,FDC11,HDE4,FDC10,FDC2,HDE1,HDC3,FDE6,HDC4,FDE4
Donald,0,X3,FDC11,FDC9,HDC4,FDE3,FDC8,HDE1,HDE4,FDC3,HDC2,FDE4
Zari,0,X3,FDC6,FDC7,HDE2,FDC4,FDE2,HDC2,HDE3,FDE1,HDC4,FDC9
Mohar,0,X3,FDE4,HDE1,FDC7,FDC5,FDC1,HDC4,FDE1,FDC11,HDC3,HDE3
Abdul,0,X3,FDE6,HDE1,FDC3,FDC4,HDC1,HDE2,HDC4,FDE5,FDC6,FDC5
