NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC1,FDC2,FDC9,FDE2,FDC7,HDE4,FDE3,HDC1,HDC3,HDE1
Bella,0,X1,HDC4,HDE2,FDC9,FDE3,FDC6,FDE2,FDC1,HDC3,HDE3,FDC4
Caleb,0,X1,FDC9,HDE3,HDC1,HDC4,FDC3,FDC1,HDE2,FDC10,FDE5,FDE3
Delilah,0,X1,HDE1,HDC4,FDC11,FDE6,FDC7,FDC6,HDC2,FDC8,HDE2,FDE3
Ethan,0,X1,HDC2,HDE1,HDE4,FDE6,FDC3,FDC9,FDE4,FDC8,FDC4,HDC3
Fiona,0,X1,HDE2,FDC2,FDE4,HDE3,HDC2,FDC7,FDE3,FDC8,FDC11,HDC3
Gabriel,0,X1,FDC11,FDC5,HDC2,HDE2,FDE6,FDE5,FDC1,HDC4,HDE3,FDC6
Hannah,0,X1,HDE4,HDC1,FDE4,FDC6,FDC7,FDC9,FDC10,FDE2,HDC3,HDE3
Isaac,0,X1,HDE3,HDC1,FDE5,FDC2,FDC11,FDE4,FDC4,HDE1,FDC10,HDC3
Jasmine,0,X1,HDE2,HDC4,HDC3,FDE5,FDC9,FDE3,HDE3,FDC1,FDC8,FDC5
Kaden,0,X2,FDC6,HDE2,FDC4,HDC3,HDC4,HDE1,FDE4,FDE2,FDC3,FDC2
Lily,0,X2,HDC2,FDC2,FDE2,FDE5,HDE4,FDC10,FDC3,HDE2,HDC3,FDC7
Mason,0,X2,HDC3,FDC6,FDE4,FDC11,HDE2,HDC1,FDC3,FDE6,FDC5,HDE1
Nora,0,X2,FDE2,HDC2,HDE3,FDE1,FDC8,FDC6,HDC4,FDC7,HDE4,FDC5
Oliver,0,X2,FDC9,FDE6,HDE4,FDC4,HDC1,FDC8,HDC2,FDE4,HDE1,FDC5
Penelope,0,X2,HDC1,FDC6,FDC7,FDC10,FDC8,FDE5,HDE4,FDE6,HDC2,HDE3
Quentin,0,X2,HDE4,FDE1,FDC1,HDE1,FDC11,FDC3,HDC2,HDC4,FDC8,FDE6
Rose,0,X2,FDC5,HDE4,HDC2,FDE2,FDC7,HDC4,FDC10,HDE3,FDE3,FDC8
Sebastian,0,X3,HDE2,FDC3,HDE1,FDC9,HDC4,FDE5,FDC10,FDC6,FDE4,HDC1
Tessa,0,X3,HDE3,HDC2,FDE4,FDE3,FDC2,HDC3,FDC11,FDC5,HDE1,FDC6
Uriel,0,X3,FDE3,FDC10,FDC6,FDC11,FDE4,HDC2,HDC3,HDE3,HDE1,FDC2
Violet,0,X3,FDC2,FDC9,HDC3,FDC11,FDE6,HDE3,FDC5,HDC4,HDE2,FDE2
William,0,X3,FDE2,HDC3,HDE1,FDC9,HDC4,HDE4,FDC2,FDE4,FDC10,FDC1
Xena,0,X3,HDC4,FDC6,FDC8,FDC10,HDE1,FDE1,FDE2,HDE3,HDC2,FDC1
Yosef,0,X3,HDC4,FDC11,FDE4,HDE4,HDE2,FDC3,FDC5,HDC2,FDC8,FDE6
Daniel,0,X3,HDE3,FDC11,FDC2,FDC4,HDE1,FDE4,HDC3,FDC1,FDE5,HDC4
Donald,0,X3,FDC3,FDE5,HDE4,FDC7,HDC3,FDC5,FDC4,HDC1,FDE1,HDE3
Zari,0,X3,HDE3,HDC4,HDC2,FDC8,FDE1,FDC10,FDC2,FDC4,HDE2,FDE3
Mohar,0,X3,FDC7,FDC1,FDE4,HDC2,FDC6,FDC8,FDE2,HDC1,HDE4,HDE1
Abdul,0,X3,HDE1,HDC3,FDE4,FDC8,FDC7,HDE4,FDC9,HDC2,FDC3,FDE3
