NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDC1,FDC6,FDC8,HDE2,HDE1,FDC7,HDC2,FDC9,FDE2,FDE5
Bella,0,X1,FDE4,FDC9,HDE4,FDC8,FDC3,FDC7,HDC4,HDC3,FDE6,HDE3
Caleb,0,X1,FDC3,HDC4,FDE3,HDE3,FDC4,FDE6,FDC2,HDC3,FDC11,HDE2
Delilah,0,X1,FDE1,HDC4,FDC1,HDE3,HDC2,FDC10,FDE3,FDC8,HDE2,FDC3
Ethan,0,X1,HDE1,FDE5,HDC1,FDC9,FDC4,HDE3,HDC2,FDE6,FDC8,FDC2
Fiona,0,X1,FDC9,HDC3,HDE3,HDE1,FDC6,FDE3,FDE6,HDC4,FDC5,FDC4
Gabriel,0,X1,FDC7,FDC5,HDE3,FDE6,HDE1,FDC1,FDE4,HDC4,HDC3,FDC11
Hannah,0,X1,HDC4,FDC3,HDE1,FDC10,FDE5,FDC6,FDE6,HDC3,HDE4,FDC7
Isaac,0,X1,FDC7,HDE4,FDE6,HDE2,FDC4,FDC10,FDC9,HDC3,FDE5,HDC1
Jasmine,0,X1,HDC1,HDC2,FDC9,HDE4,FDE1,FDC4,FDC3,FDE6,HDE2,FDC11
Kaden,0,X2,FDC7,FDC2,HDE4,FDE2,HDE3,FDC4,HDC3,HDC2,FDE3,FDC9
Lily,0,X2,FDE6,FDC10,HDE3,HDE4,HDC2,FDC11,HDC1,FDE3,FDC7,FDC5
Mason,0,X2,HDC4,FDC10,HDE2,FDC2,FDE1,FDE2,FDC3,FDC11,HDC1,HDE4
Nora,0,X2,FDC8,HDE4,HDE3,FDE1,FDC6,HDC3,FDC5,FDC11,HDC1,FDE4
Oliver,0,X2,HDE2,HDE3,FDC8,FDE1,FDC2,FDE5,FDC7,HDC1,HDC3,FDC11
Penelope,0,X2,FDE2,FDC4,HDE2,FDE1,HDE4,FDC6,HDC3,FDC11,HDC1,FDC7
Quentin,0,X2,FDC4,FDE2,HDC1,FDC7,FDC5,FDE1,HDE3,HDC2,FDC9,HDE1
Rose,0,X2,HDE2,FDE6,FDE4,FDC9,HDE1,FDC8,FDC1,HDC3,HDC2,FDC5
Sebastian,0,X3,FDE5,HDC2,FDC2,HDC3,FDC4,FDE4,HDE1,FDC11,HDE2,FDC7
Tessa,0,X3,FDC5,HDC2,HDC3,FDC7,HDE4,FDC4,FDE4,FDC1,HDE2,FDE5
Uriel,0,X3,HDC4,HDE4,FDE1,FDC5,FDC4,FDE2,HDC3,HDE3,FDC2,FDC7
Violet,0,X3,HDE1,FDC7,FDC2,HDC1,HDC2,HDE2,FDE3,FDC5,FDE1,FDC10
William,0,X3,HDE2,FDC1,HDC4,HDE4,FDE6,FDC4,FDC10,FDC11,HDC3,FDE5
Xena,0,X3,FDE6,FDC2,HDE2,FDE3,FDC4,FDC11,FDC3,HDC1,HDE3,HDC4
Yosef,0,X3,HDE2,HDE4,FDC9,FDE5,FDC3,HDC4,FDC7,HDC2,FDE3,FDC4
Daniel,0,X3,HDC1,HDE1,FDC6,FDC7,HDE3,FDC9,FDE5,FDC11,FDE4,HDC4
Donald,0,X3,HDE3,HDC4,FDE4,HDC1,FDC8,FDC9,HDE4,FDC1,FDE1,FDC2
Zari,0,X3,FDC9,HDE4,FDE6,FDE4,FDC5,HDE1,FDC3,HDC3,FDC2,HDC4
Mohar,0,X3,HDC4,FDC2,FDE1,FDC10,FDC7,HDC3,FDC9,FDE6,HDE2,HDE1
Abdul,0,X3,FDE2,HDE4,FDC8,FDC6,HDC4,FDC4,HDE1,HDC3,FDC2,FDE5
