NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDE4,HDC3,FDC5,FDC9,HDE3,FDE6,FDC6,HDC2,HDE2,FDC3
Bella,0,X1,FDE4,HDE2,HDE4,FDC10,FDE6,FDC3,FDC7,FDC11,HDC4,HDC2
Caleb,0,X1,FDC3,HDE1,HDC3,FDC8,HDC4,FDE2,FDC10,FDE1,FDC7,HDE4
Delilah,0,X1,HDE4,FDC10,FDC2,FDE2,FDE6,FDC7,HDE2,HDC2,HDC3,FDC6
Ethan,0,X1,FDE6,HDE1,HDC4,FDC11,HDE3,HDC2,FDE5,FDC8,FDC10,FDC1
Fiona,0,X1,FDC3,FDC9,FDE3,HDC4,FDC7,FDC6,HDC2,HDE3,FDE6,HDE2
Gabriel,0,X1,HDE1,FDC9,HDC2,HDE3,FDE2,FDE4,FDC11,HDC3,FDC7,FDC5
Hannah,0,X1,FDC8,FDC1,FDC5,FDE3,HDC2,HDE1,FDC4,HDC3,HDE4,FDE5
Isaac,0,X1,FDC10,FDE6,HDE3,FDE1,HDC4,FDC9,HDE4,FDC1,FDC7,HDC2
Jasmine,0,X1,HDE4,FDC10,HDC1,FDC2,FDE1,FDC4,FDE2,FDC8,HDE1,HDC3
Kaden,0,X2,FDE1,FDC3,HDC1,FDE2,HDE3,FDC5,FDC2,FDC9,HDE1,HDC4
Lily,0,X2,FDC4,FDC10,HDC3,FDC3,FDE1,FDC5,FDE6,HDE4,HDC2,HDE2
Mason,0,X2,FDC11,FDC1,HDC4,FDC7,FDC2,FDE1,HDC1,HDE2,FDE2,HDE4
Nora,0,X2,HDE1,FDC2,FDE4,FDE3,HDC2,FDC9,FDC5,HDE3,HDC3,FDC3
Oliver,0,X2,FDC5,HDC2,FDE3,FDC2,HDE2,FDC3,FDC6,FDE6,HDE3,HDC3
Penelope,0,X2,HDC2,FDC10,FDE4,HDC1,FDE6,FDC1,HDE1,FDC9,FDC11,HDE4
Quentin,0,X2,FDE3,FDC7,HDE2,HDC4,FDC10,FDE4,FDC6,HDE3,FDC1,HDC1
Rose,0,X2,HDE1,HDC2,FDE2,FDE3,FDC1,HDE3,HDC1,FDC6,FDC3,FDC4
Sebastian,0,X3,HDC2,FDE4,FDC4,FDC7,HDE4,HDC1,HDE3,FDC3,FDE1,FDC6
Tessa,0,X3,HDC4,FDC3,FDC5,HDE2,HDE3,FDC1,FDC6,HDC3,FDE2,FDE5
Uriel,0,X3,HDC4,FDC9,FDC4,FDE6,FDE4,HDE2,FDC10,HDE4,HDC1,FDC7
Violet,0,X3,HDE2,FDC9,HDE1,HDC2,FDC8,FDE2,FDC2,FDC10,HDC1,FDE1
William,0,X3,HDC3,FDC4,HDC1,FDC6,FDE5,FDC9,HDE2,FDE2,FDC11,HDE1
Xena,0,X3,HDC2,FDC1,FDE6,HDE2,FDC2,HDC3,FDC6,FDE4,FDC7,HDE4
Yosef,0,X3,HDE4,HDE2,FDC3,HDC4,HDC3,FDC2,FDC8,FDC9,FDE5,FDE1
Daniel,0,X3,HDE3,FDC3,FDE6,FDC9,FDC10,HDE4,HDC4,FDC8,FDE3,HDC3
Donald,0,X3,FDE1,FDE2,FDC6,HDC4,FDC8,FDC5,HDE4,FDC10,HDC3,HDE1
Zari,0,X3,FDC5,HDC3,HDE2,FDE6,FDC4,FDC11,HDC4,FDC6,HDE1,FDE4
Mohar,0,X3,FDC9,FDC4,HDE3,FDE1,FDC7,HDC2,FDE3,HDC4,HDE2,FDC1
Abdul,0,X3,HDC2,FDC8,FDC9,HDC3,FDC6,HDE4,FDC7,HDE1,FDE2,FDE6
