NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC6,FDC10,HDC3,FDC7,FDC2,HDC2,HDE2,FDE3,FDE1,HDE4
Bella,0,X1,FDE2,FDC10,FDC8,HDE3,FDC7,HDE4,FDC6,HDC3,FDE1,HDC4
Caleb,0,X1,HDC4,HDC1,FDC5,FDE3,FDC2,FDC7,HDE1,FDC9,HDE2,FDE1
Delilah,0,X1,HDE3,FDC8,FDC1,HDE2,HDC2,FDC11,FDE5,HDC1,FDE1,FDC9
Ethan,0,X1,FDC4,FDE4,HDE2,FDC9,FDE6,FDC11,HDC4,HDE1,FDC8,HDC3
Fiona,0,X1,HDC3,HDE4,FDC10,FDC1,FDE3,HDC1,FDC4,FDE1,FDC9,HDE1
Gabriel,0,X1,FDC5,FDC1,HDE4,HDC3,HDE3,HDC1,FDC7,FDE2,FDE4,FDC11
Hannah,0,X1,FDE2,HDE4,HDE1,FDC8,FDC4,HDC1,FDC10,FDE4,FDC3,HDC2
Isaac,0,X1,FDC9,FDE3,FDC6,HDE3,HDE4,FDC2,FDE5,HDC3,HDC4,FDC3
Jasmine,0,X1,FDC6,FDC2,FDC8,FDC10,FDE1,FDE2,HDC2,HDE3,HDC3,HDE2
Kaden,0,X2,HDC4,FDC1,FDE5,HDE3,FDC11,HDC1,FDC8,HDE1,FDC7,FDE6
Lily,0,X2,HDC1,FDE4,FDC6,HDE1,HDC3,FDC10,FDC5,FDE3,HDE3,FDC4
Mason,0,X2,FDC4,FDE4,FDC11,FDC5,HDC3,FDE2,HDE2,HDC4,FDC2,HDE1
Nora,0,X2,HDC3,FDC7,FDC2,HDE4,FDE1,FDC1,HDC1,HDE1,FDC5,FDE5
Oliver,0,X2,FDC6,HDC2,HDC4,FDC11,FDE2,HDE3,FDC7,FDC10,HDE4,FDE5
Penelope,0,X2,HDC3,FDC3,FDE4,FDC7,FDC9,HDC1,FDC8,HDE3,HDE1,FDE3
Quentin,0,X2,HDC2,FDC9,HDE2,HDC4,FDC2,FDE1,FDE2,FDC7,HDE1,FDC4
Rose,0,X2,FDC10,HDC1,HDC4,FDC1,HDE4,FDC8,FDE6,HDE3,FDE4,FDC9
Sebastian,0,X3,FDE1,HDE4,FDC7,FDC1,FDC4,FDE5,FDC9,HDC1,HDE3,HDC3
Tessa,0,X3,FDC7,HDE2,FDC6,FDC10,HDC2,FDE4,FDC1,FDE3,HDC1,HDE1
Uriel,0,X3,FDC1,HDC2,FDE1,HDC1,FDC4,HDE2,HDE1,FDC7,FDE3,FDC11
Violet,0,X3,FDE5,FDC6,HDE4,HDE2,FDE3,HDC2,HDC1,FDC8,FDC10,FDC3
William,0,X3,HDE3,FDE4,FDC5,FDC4,HDE4,FDC8,HDC1,FDC1,FDE3,HDC3
Xena,0,X3,HDC1,FDE4,FDC2,FDC9,FDE3,HDE1,HDE2,HDC3,FDC5,FDC6
Yosef,0,X3,FDE3,FDC3,HDE2,HDC1,FDE2,HDC3,FDC9,HDE3,FDC1,FDC11
Daniel,0,X3,HDC4,FDC8,FDC4,FDC6,HDE4,FDE5,HDE1,FDE1,HDC2,FDC3
Donald,0,X3,HDC3,HDC1,FDE2,HDE1,HDE4,FDC8,FDC2,FDC6,FDE6,FDC5
Zari,0,X3,FDC9,HDC1,FDE3,HDE3,HDC4,FDC5,FDC3,HDE2,FDC10,FDE2
Mohar,0,X3,FDE1,FDC11,FDC10,HDC1,FDC2,FDE5,FDC6,HDE2,HDE1,HDC2
Abdul,0,X3,FDC10,HDC3,FDE2,FDC4,FDE4,HDE3,HDE1,FDC7,HDC2,FDC1
