NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDC2,HDE2,HDC4,FDC6,FDE4,FDE1,HDE1,FDC4,FDC1,FDC3
Bella,0,X1,FDC11,HDC1,HDE1,HDC2,FDE6,FDC10,HDE3,FDC8,FDC3,FDE5
Caleb,0,X1,FDC10,FDC3,FDE6,HDE2,FDC4,HDC4,FDC11,FDE1,HDC3,HDE4
Delilah,0,X1,HDE1,HDC4,FDC3,FDC9,FDE2,HDC1,FDC5,HDE3,FDE3,FDC4
Ethan,0,X1,HDC3,FDC1,HDC2,FDE5,HDE3,FDE6,FDC2,FDC5,HDE2,FDC11
Fiona,0,X1,HDE1,FDE4,HDC2,FDC1,HDC3,FDC5,FDE5,FDC6,HDE3,FDC11
Gabriel,0,X1,HDE2,FDC4,HDC2,FDC8,FDC9,HDE4,FDE5,FDE2,HDC3,FDC5
Hannah,0,X1,HDC1,HDE3,FDE2,FDE1,HDC3,FDC1,FDC8,FDC9,HDE4,FDC11
Isaac,0,X1,FDE4,HDE1,FDC4,FDE3,HDC1,FDC8,FDC10,HDE4,FDC11,HDC3
Jasmine,0,X1,HDE2,HDC1,FDE5,FDC5,HDE4,FDC2,FDC7,FDE4,FDC1,HDC2
Kaden,0,X2,HDE4,FDE1,FDC5,FDC4,FDC7,FDE3,FDC6,HDE2,HDC2,HDC4
Lily,0,X2,HDC1,FDE2,HDC2,HDE2,HDE3,FDE5,FDC5,FDC7,FDC8,FDC6
Mason,0,X2,HDE4,FDE3,HDC2,FDE2,FDC7,HDC1,FDC2,FDC8,FDC10,HDE3
Nora,0,X2,HDE2,FDC6,FDE2,HDE3,FDC2,FDC3,HDC2,FDC4,HDC3,FDE3
Oliver,0,X2,FDE4,HDC2,HDE4,FDE2,HDC3,FDC2,FDC4,FDC7,HDE2,FDC1
Penelope,0,X2,FDC7,FDC9,FDE4,FDE6,HDE4,FDC3,HDC4,FDC10,HDC3,HDE2
Quentin,0,X2,FDE1,FDC5,FDC11,FDC6,HDC2,HDE4,FDE3,HDE1,FDC4,HDC4
Rose,0,X2,FDC4,FDC10,HDC2,HDC4,HDE4,HDE3,FDC3,FDE5,FDE1,FDC6
Sebastian,0,X3,HDC3,FDE4,HDE2,HDC4,FDE5,FDC8,FDC11,FDC9,HDE1,FDC1
Tessa,0,X3,HDE1,FDC3,HDC3,FDC7,HDC4,FDC10,FDE2,HDE4,FDC5,FDE3
Uriel,0,X3,FDC11,HDE2,FDC9,HDE3,FDC1,FDC8,HDC2,FDE3,FDE5,HDC3
Violet,0,X3,HDE2,FDE4,FDC11,FDE5,HDE4,HDC2,HDC1,FDC8,FDC1,FDC5
William,0,X3,FDC2,FDE3,HDC4,HDE1,FDC6,HDE3,FDC9,FDE1,HDC2,FDC4
Xena,0,X3,HDE1,FDE3,FDE1,HDC3,HDC1,FDC1,FDC7,FDC2,FDC4,HDE2
Yosef,0,X3,FDE3,HDE4,FDE6,FDC5,FDC6,FDC7,HDC1,HDC4,FDC8,HDE1
Daniel,0,X3,FDE5,FDC3,FDE2,HDE2,HDC2,HDE3,HDC1,FDC5,FDC10,FDC2
Donald,0,X3,HDE1,FDE1,FDE5,FDC4,FDC10,FDC7,HDE4,HDC2,FDC5,HDC4
Zari,0,X3,FDC7,HDC3,FDE3,HDE1,FDC4,FDC8,HDC2,FDE2,FDC3,HDE4
Mohar,0,X3,FDC1,HDC3,HDE1,HDE2,FDE2,HDC2,FDC4,FDC5,FDE5,FDC8
Abdul,0,X3,HDE4,FDE5,FDC2,FDC8,HDE1,FDC7,HDC1,HDC2,FDC6,FDE2
