NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDC3,FDC11,HDC4,FDC7,FDE5,HDE4,FDC5,HDE3,FDC8,FDE3
Bella,0,X1,FDE2,FDC6,FDC10,HDC1,FDE3,HDC2,HDE1,HDE2,FDC2,FDC11
Caleb,0,X1,HDE1,HDC4,FDE1,HDE3,FDE3,FDC10,FDC9,FDC5,HDC2,FDC11
Delilah,0,X1,FDC11,HDC2,HDE1,FDC5,FDC3,HDE4,FDE1,FDC1,FDE5,HDC1
Ethan,0,X1,FDE5,FDC2,HDC1,FDC7,FDC3,FDC4,HDE3,HDE4,FDE6,HDC2
Fiona,0,X1,FDC2,HDC2,FDC3,FDE6,FDC10,HDC1,HDE3,HDE4,FDC7,FDE1
Gabriel,0,X1,HDE1,HDC3,FDC5,HDC4,FDE4,FDC3,FDE3,HDE2,FDC1,FDC7
Hannah,0,X1,HDE1,FDE5,FDC6,HDC2,FDE4,FDC5,FDC9,FDC10,HDC3,HDE3
Isaac,0,X1,HDC4,HDE3,FDC7,FDC1,FDE5,FDE4,FDC6,FDC11,HDC1,HDE2
Jasmine,0,X1,FDE2,HDC3,FDC4,HDE3,HDC1,HDE2,FDE5,FDC8,FDC2,FDC6
Kaden,0,X2,FDE2,FDE4,HDC1,FDC10,FDC7,HDC4,FDC3,HDE4,FDC2,HDE1
Lily,0,X2,FDC4,FDC8,HDC2,FDE2,HDC4,FDC3,HDE1,HDE3,FDE5,FDC6
Mason,0,X2,HDC1,HDE3,FDE5,FDC3,FDC10,FDC6,FDC11,FDE3,HDC4,HDE4
Nora,0,X2,FDC6,FDC7,HDE3,HDE1,FDC10,FDC8,HDC1,FDE3,FDE5,HDC3
Oliver,0,X2,HDC4,HDE1,HDC3,HDE4,FDE1,FDC2,FDE3,FDC8,FDC6,FDC10
Penelope,0,X2,HDC3,HDC2,FDC4,FDC11,FDE2,HDE4,HDE3,FDC2,FDC9,FDE4
Quentin,0,X2,HDE1,FDE5,FDC9,FDE4,FDC6,FDC2,HDE2,HDC4,HDC2,FDC5
Rose,0,X2,FDE4,FDC4,FDC3,HDE3,HDC2,FDC8,HDE1,FDE5,HDC3,FDC10
Sebastian,0,X3,FDC2,FDE1,HDE3,FDC3,FDC10,FDC6,HDE2,HDC4,FDE5,HDC2
Tessa,0,X3,FDC8,FDE3,HDE2,FDC1,HDC3,FDE2,FDC9,HDE4,FDC11,HDC2
Uriel,0,X3,HDE1,FDC11,FDC5,FDE2,FDC2,FDE6,HDC3,HDE4,HDC2,FDC4
Violet,0,X3,FDC11,FDE5,FDC7,FDC8,HDE4,HDE1,HDC3,FDE1,HDC4,FDC2
William,0,X3,HDE2,HDC2,FDE3,FDC2,FDE4,FDC11,HDE4,FDC8,HDC1,FDC5
Xena,0,X3,FDC4,FDE1,HDC1,FDC1,FDC6,HDE4,HDC2,HDE2,FDE3,FDC3
Yosef,0,X3,FDC1,FDC3,FDE4,FDC11,HDE2,HDC4,FDC9,HDE4,FDE1,HDC2
Daniel,0,X3,HDC2,FDC4,HDE3,FDC8,FDC6,FDE2,HDC3,FDC5,FDE3,HDE2
Donald,0,X3,FDC1,FDC2,FDC9,FDC8,HDE4,HDC4,FDE2,FDE1,HDC3,HDE3
Zari,0,X3,HDC1,FDC9,HDC2,HDE3,FDC1,FDE1,FDC3,FDE6,HDE2,FDC10
Mohar,0,X3,HDE1,HDE4,FDE4,FDC10,FDC6,HDC2,HDC4,FDC8,FDC9,FDE3
Abdul,0,X3,HDC1,FDC6,FDC7,FDE1,FDC2,HDC3,HDE2,FDE2,HDE3,FDC11
