NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC7,HDC4,HDE4,HDC1,FDC2,FDE3,FDC8,HDE2,FDE4,FDC6
Bella,0,X1,HDC2,HDC3,HDE2,HDE3,FDC2,FDC6,FDE2,FDE3,FDC8,FDC7
Caleb,0,X1,HDC1,HDE2,FDE1,HDE3,FDE6,FDC11,FDC3,FDC6,FDC5,HDC3
Delilah,0,X1,HDC3,FDC1,FDC7,HDE2,FDE3,FDC10,FDC9,HDC2,FDE1,HDE4
Ethan,0,X1,FDC3,FDC8,FDC6,HDC3,HDE2,FDE1,HDC2,FDE2,FDC4,HDE1
Fiona,0,X1,HDE2,FDE3,FDC10,HDE1,FDE6,FDC8,FDC5,FDC7,HDC4,HDC2
Gabriel,0,X1,FDC3,HDC2,HDC1,FDC6,HDE4,FDE5,FDC11,FDC4,HDE3,FDE6
Hannah,0,X1,HDC2,FDC5,FDE3,HDE1,FDC7,FDC8,FDE2,HDE3,HDC1,FDC11
Isaac,0,X1,FDC6,HDE1,FDC4,FDC10,FDE5,HDE4,FDC8,FDE1,HDC2,HDC4
Jasmine,0,X1,FDC2,FDC4,HDC1,FDE4,FDC8,HDE2,HDC2,FDE2,FDC3,HDE1
Kaden,0,X2,FDC3,FDC6,FDE3,HDC2,FDC9,HDE3,FDE5,HDE1,FDC7,HDC4
Lily,0,X2,FDC8,FDC4,FDC9,HDC1,HDC3,HDE3,FDE5,FDE4,FDC1,HDE1
Mason,0,X2,FDC1,HDC3,FDC10,FDE6,FDC2,FDC9,HDC2,HDE3,HDE4,FDE5
Nora,0,X2,FDC6,FDC10,HDE1,FDE4,FDC11,HDE4,FDC2,HDC2,FDE3,HDC1
Oliver,0,X2,HDE2,FDC10,HDC3,FDE2,FDC6,HDC4,FDC5,FDC2,HDE3,FDE3
Penelope,0,X2,HDE4,HDE1,FDC1,FDE1,FDE3,HDC1,FDC5,FDC7,HDC2,FDC3
Quentin,0,X2,FDE3,FDC1,HDC2,FDC8,FDC2,HDC4,HDE2,HDE3,FDE6,FDC4
Rose,0,X2,FDC3,FDC5,HDE3,FDC11,FDE4,HDE2,HDC2,FDC1,FDE6,HDC1
Sebastian,0,X3,HDC3,HDE2,FDC4,FDE2,FDE5,FDC2,FDC11,HDC2,FDC5,HDE3
Tessa,0,X3,FDC1,HDC1,FDC11,HDE2,FDE3,FDE6,HDE1,HDC3,FDC8,FDC4
Uriel,0,X3,FDE3,HDC4,FDC11,HDC3,FDC9,FDE2,FDC6,HDE1,FDC3,HDE2
Violet,0,X3,FDC11,HDC1,FDC7,HDE3,FDE4,HDC4,FDC9,FDC10,FDE5,HDE1
William,0,X3,FDC11,HDC1,FDC1,HDC3,FDE3,HDE3,FDC9,HDE1,FDE6,FDC5
Xena,0,X3,FDE2,HDC3,FDC10,HDE2,FDC2,FDE5,FDC8,HDE1,FDC4,HDC4
Yosef,0,X3,FDC6,FDC11,FDC3,FDE1,FDE5,FDC1,HDE3,HDC4,HDE4,HDC1
Daniel,0,X3,FDC1,HDC4,HDE4,FDC4,FDE6,FDE2,FDC9,HDC3,FDC7,HDE2
Donald,0,X3,HDC4,HDC1,HDE3,FDC3,FDC10,FDE5,FDE6,FDC11,FDC9,HDE2
Zari,0,X3,HDC3,FDC9,HDC4,HDE4,HDE3,FDC4,FDE3,FDE6,FDC5,FDC1
Mohar,0,X3,HDE4,HDC1,HDC4,HDE2,FDC4,FDE2,FDC2,FDC8,FDE3,FDC6
Abdul,0,X3,FDE5,FDE6,FDC2,FDC7,HDE3,FDC4,HDC4,HDE4,FDC9,HDC3
