NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDE1,HDC1,HDC2,HDE3,FDC7,FDC6,FDE3,FDC9,HDE4,FDC4
Bella,0,X1,FDE1,FDC1,FDC5,HDE3,FDC8,FDE6,FDC6,HDC1,HDC2,HDE1
Caleb,0,X1,HDE3,FDE4,HDC3,HDE1,FDC9,FDE2,FDC5,FDC4,HDC1,FDC1
Delilah,0,X1,FDE6,HDE1,FDC4,HDE2,HDC3,FDC8,FDE3,HDC4,FDC10,FDC9
Ethan,0,X1,FDC3,FDC4,FDE6,HDC3,FDE1,HDE4,HDE2,FDC6,FDC1,HDC4
Fiona,0,X1,HDE3,FDE3,HDC4,FDC9,HDC1,FDC4,FDC7,FDE6,HDE4,FDC10
Gabriel,0,X1,FDC5,HDE2,FDE2,HDC4,FDE3,HDC3,FDC10,FDC3,HDE4,FDC9
Hannah,0,X1,FDE4,HDC4,HDE1,FDC9,FDC10,HDE3,FDC11,FDC4,HDC1,FDE5
Isaac,0,X1,FDE1,HDE4,HDC3,FDE4,FDC1,FDC7,FDC3,FDC2,HDE1,HDC4
Jasmine,0,X1,HDC4,FDC1,HDC2,FDE2,HDE3,FDC6,FDE6,FDC10,FDC5,HDE2
Kaden,0,X2,FDC3,FDC4,FDE1,FDC1,HDC3,FDC6,HDC1,FDE4,HDE4,HDE2
Lily,0,X2,FDE1,HDE4,FDC7,HDE1,HDC3,FDC10,FDC9,FDE6,HDC1,FDC11
Mason,0,X2,HDE3,FDE1,HDC3,FDE3,HDC1,FDC8,FDC10,HDE2,FDC9,FDC1
Nora,0,X2,HDE2,HDE4,FDC2,FDC1,HDC4,HDC2,FDE2,FDC11,FDE1,FDC7
Oliver,0,X2,FDC3,FDE3,FDC10,HDE2,FDC8,HDE3,HDC4,FDC7,HDC1,FDE5
Penelope,0,X2,FDC7,FDC5,HDE3,HDE2,HDC4,FDC4,HDC1,FDE4,FDE5,FDC3
Quentin,0,X2,FDC1,FDC4,FDE1,FDC6,HDC4,FDC10,FDE5,HDC3,HDE1,HDE2
Rose,0,X2,FDC2,HDE2,HDC2,HDC3,FDC5,FDE4,FDC6,FDE1,FDC3,HDE1
Sebastian,0,X3,FDE2,HDE1,FDC2,HDE3,HDC4,HDC2,FDC11,FDC8,FDE6,FDC4
Tessa,0,X3,HDE3,FDE6,HDE1,HDC1,FDC11,FDC1,HDC4,FDC10,FDC8,FDE3
Uriel,0,X3,FDC8,FDC9,HDE2,FDC3,FDE6,FDC10,FDE4,HDC1,HDC2,HDE1
Violet,0,X3,HDC4,FDC10,FDE2,FDC9,FDE4,HDE4,FDC2,HDC1,HDE2,FDC5
William,0,X3,FDE6,FDC3,HDC1,FDC4,FDC8,HDE1,HDC4,FDC2,FDE4,HDE3
Xena,0,X3,FDE2,FDC9,HDC2,FDC8,FDC6,FDC5,HDE1,FDE1,HDC3,HDE4
Yosef,0,X3,FDE4,FDE5,HDC4,FDC3,HDE1,HDE2,FDC8,FDC6,FDC5,HDC1
Daniel,0,X3,HDC3,HDE2,FDC10,HDC2,FDC9,FDE6,FDC8,HDE3,FDE2,FDC5
Donald,0,X3,FDC2,HDC2,HDE1,FDE3,FDC5,HDC4,FDC7,FDE4,HDE4,FDC4
Zari,0,X3,HDE1,FDE4,FDC1,FDE3,FDC6,FDC8,HDC1,HDC2,HDE3,FDC9
Mohar,0,X3,FDC11,HDE3,HDC2,FDE3,FDE4,HDE4,FDC7,FDC3,HDC4,FDC2
Abdul,0,X3,HDC2,HDE4,FDE1,HDC1,FDC6,FDC11,HDE2,FDC4,FDE5,FDC8
