NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDC3,FDC7,FDE5,HDE3,FDE2,HDE2,FDC2,HDC1,FDC1,FDC4
Bella,0,X1,HDE1,FDE3,FDC9,FDC8,FDE4,HDC3,HDC4,HDE4,FDC11,FDC6
Caleb,0,X1,FDC10,FDC1,FDE3,FDC9,FDC11,HDC1,FDE1,HDE4,HDE2,HDC2
Delilah,0,X1,HDE2,HDC3,FDE3,FDC7,HDC1,FDC11,FDE4,HDE4,FDC4,FDC6
Ethan,0,X1,FDC7,FDE3,HDE1,HDC1,FDC10,FDC4,FDC5,FDE2,HDC2,HDE2
Fiona,0,X1,HDC1,FDC7,FDE3,FDC9,FDC4,HDE1,HDC3,HDE3,FDE5,FDC3
Gabriel,0,X1,HDC1,FDE6,FDC1,HDC3,FDC6,HDE3,FDC10,FDC11,HDE4,FDE2
Hannah,0,X1,HDC2,HDE3,FDE2,FDC5,FDE5,FDC9,FDC3,HDE1,FDC1,HDC4
Isaac,0,X1,HDE3,HDC3,FDE5,FDC2,HDC1,HDE4,FDC10,FDC3,FDC6,FDE2
Jasmine,0,X1,FDE3,FDC10,FDC9,HDE2,FDC11,HDC4,HDC1,HDE3,FDE1,FDC2
Kaden,0,X2,FDC6,FDE4,HDC1,HDE4,HDC3,HDE1,FDC2,FDC9,FDC1,FDE6
Lily,0,X2,FDC5,HDE3,HDC3,FDC3,FDC7,FDC4,HDE4,FDE1,HDC4,FDE6
Mason,0,X2,FDC2,HDC1,HDC3,FDE1,FDC3,FDC10,HDE4,FDE6,FDC11,HDE1
Nora,0,X2,FDC10,FDE3,FDE2,HDC4,HDE3,FDC8,HDC1,FDC4,FDC9,HDE4
Oliver,0,X2,FDC11,FDC7,FDE5,FDE1,HDC2,FDC3,FDC9,HDE1,HDC3,HDE2
Penelope,0,X2,FDC6,FDC5,FDE2,FDC3,HDC3,HDE4,HDC2,FDE1,HDE1,FDC7
Quentin,0,X2,FDC9,FDE1,HDC2,FDC11,HDE2,FDE6,HDC1,HDE1,FDC5,FDC6
Rose,0,X2,FDC10,HDC4,HDE4,FDC6,FDC8,HDE2,HDC3,FDE3,FDC9,FDE1
Sebastian,0,X3,HDC1,HDE3,HDC2,HDE2,FDE2,FDC4,FDC3,FDC9,FDC1,FDE5
Tessa,0,X3,FDE1,HDC2,FDC10,FDE6,HDC4,FDC1,FDC8,HDE1,HDE4,FDC11
Uriel,0,X3,FDE2,HDC1,FDC3,HDE2,HDC4,FDC11,HDE4,FDC10,FDC5,FDE1
Violet,0,X3,HDC1,FDC4,FDC6,FDC11,FDE5,HDC2,HDE4,FDE4,HDE2,FDC1
William,0,X3,FDE6,FDC1,FDC8,FDE5,FDC4,FDC2,HDE1,HDE2,HDC4,HDC2
Xena,0,X3,FDC1,FDC6,FDC10,HDC3,HDE1,FDE4,FDC4,HDC1,HDE4,FDE5
Yosef,0,X3,HDE3,FDC1,FDE2,FDC8,HDE2,FDE3,FDC11,HDC1,FDC3,HDC2
Daniel,0,X3,HDE3,FDE1,FDC2,HDC1,FDC3,FDC8,FDC4,FDE6,HDC3,HDE2
Donald,0,X3,HDE3,HDC2,HDC1,FDC7,HDE4,FDE4,FDE1,FDC8,FDC10,FDC4
Zari,0,X3,HDE4,FDC1,FDC11,HDC2,HDE3,FDE6,FDE5,FDC5,HDC1,FDC10
Mohar,0,X3,FDE6,FDC7,HDE4,FDE1,HDC1,HDE2,FDC9,FDC2,HDC3,FDC8
Abdul,0,X3,FDE3,HDE1,FDC1,FDE5,HDE3,FDC9,FDC8,HDC2,FDC11,HDC4
