NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDE6,FDC5,FDC3,FDE1,FDC6,HDC2,FDC4,HDE2,HDE3,HDC4
Bella,0,X1,HDC2,FDC1,FDC11,HDC1,FDE2,FDE6,FDC9,HDE4,HDE1,FDC8
Caleb,0,X1,FDC10,FDC11,FDE2,HDC3,FDC5,FDC6,HDC4,HDE2,FDE4,HDE1
Delilah,0,X1,FDC7,HDC1,FDE6,FDC9,HDE1,FDC8,HDC4,HDE4,FDE4,FDC3
Ethan,0,X1,FDC2,HDE2,FDC11,FDC5,HDE3,FDC7,HDC3,FDE5,FDE4,HDC2
Fiona,0,X1,FDC10,FDE5,FDC9,HDC4,HDE1,HDC3,FDE6,FDC8,HDE2,FDC1
Gabriel,0,X1,HDE3,FDE3,FDE4,FDC3,FDC5,FDC7,HDE2,HDC4,FDC6,HDC2
Hannah,0,X1,FDC7,FDC4,FDC11,HDC3,HDC4,FDC6,HDE3,FDE2,HDE2,FDE3
Isaac,0,X1,HDE3,FDC5,FDC4,HDE1,HDC2,FDC3,FDC8,FDE4,FDE1,HDC4
Jasmine,0,X1,HDC2,FDC2,HDE3,FDC11,HDE2,FDC7,FDC3,FDE6,HDC4,FDE5
Kaden,0,X2,FDE2,HDE4,FDC10,FDC8,FDC9,HDC4,FDC4,HDE2,HDC3,FDE3
Lily,0,X2,HDE2,HDC4,FDE5,FDC1,HDC1,HDE3,FDC9,FDC2,FDC5,FDE6
Mason,0,X2,FDE4,FDC7,FDE3,FDC3,FDC11,HDC3,FDC8,HDC2,HDE4,HDE1
Nora,0,X2,HDE1,HDC2,FDC10,FDE6,HDC1,FDC7,FDC6,FDE1,HDE3,FDC1
Oliver,0,X2,HDE3,FDC10,HDC2,FDE6,HDC1,HDE1,FDC5,FDC7,FDC9,FDE4
Penelope,0,X2,FDE6,HDE2,HDC4,FDE1,HDC1,HDE3,FDC4,FDC10,FDC9,FDC8
Quentin,0,X2,FDC6,FDE4,FDE6,FDC2,HDE3,HDE1,FDC1,FDC4,HDC1,HDC2
Rose,0,X2,HDC4,FDC9,FDC8,HDC2,FDE3,FDC6,FDE2,FDC2,HDE3,HDE2
Sebastian,0,X3,FDE6,FDC6,HDE2,FDC9,FDC1,HDC4,FDE3,HDE1,HDC3,FDC8
Tessa,0,X3,FDE1,HDE3,FDC3,FDC8,HDC3,FDC11,FDE6,FDC5,HDC4,HDE4
Uriel,0,X3,HDE1,FDC4,HDC1,HDC2,FDC9,FDE6,FDC10,FDE4,HDE2,FDC8
Violet,0,X3,FDC8,HDC3,FDC5,HDE1,FDE4,HDC2,FDC3,FDC4,HDE2,FDE2
William,0,X3,FDE2,FDC10,HDC4,HDE1,HDC1,FDE5,HDE2,FDC6,FDC2,FDC9
Xena,0,X3,HDE4,FDE4,HDE3,FDC8,FDC11,HDC3,FDC1,FDE2,FDC7,HDC4
Yosef,0,X3,HDC4,FDC11,FDC5,FDE6,HDE2,HDE3,FDC7,FDE3,FDC1,HDC1
Daniel,0,X3,FDC6,FDE6,FDE4,HDE2,HDC1,HDE3,FDC10,HDC4,FDC7,FDC5
Donald,0,X3,FDC2,HDC4,HDC2,FDC9,FDE2,FDC5,FDC11,FDE1,HDE1,HDE2
Zari,0,X3,HDE1,FDC3,FDC8,HDC1,FDC4,HDE4,FDC1,FDE6,HDC3,FDE3
Mohar,0,X3,FDC6,HDC3,HDE2,FDE3,FDE1,FDC5,FDC3,HDC2,HDE1,FDC8
Abdul,0,X3,FDC11,HDC3,FDE5,FDC6,FDC3,HDE4,HDE2,HDC4,FDE1,FDC1
