NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC2,FDE5,HDE3,FDC9,HDC3,HDE1,FDC1,FDE6,HDC4,FDC11
Bella,0,X1,HDC1,FDE2,HDC3,HDE2,FDC5,FDE6,FDC2,FDC4,HDE3,FDC6
Caleb,0,X1,FDE6,FDC11,FDC9,HDC4,FDC2,FDE3,FDC10,HDE1,HDE2,HDC2
Delilah,0,X1,FDC3,FDE1,FDE5,FDC4,FDC6,HDC4,HDE1,HDC3,HDE3,FDC5
Ethan,0,X1,HDE4,FDC2,HDE3,HDC2,FDC4,FDC7,FDE1,FDE4,HDC3,FDC1
Fiona,0,X1,HDC2,FDE1,FDC2,FDC11,HDC4,FDE5,FDC8,HDE1,HDE2,FDC5
Gabriel,0,X1,HDE1,FDE2,FDC3,FDC9,HDC1,FDC6,FDE5,HDE2,FDC4,HDC4
Hannah,0,X1,HDC1,FDC10,FDE1,HDE4,FDC11,HDE1,FDE3,FDC4,FDC6,HDC3
Isaac,0,X1,FDE1,FDC7,HDE2,HDC4,FDC9,FDC8,HDE3,FDC6,FDE5,HDC1
Jasmine,0,X1,HDC2,FDC1,HDE3,FDC5,HDC3,FDE1,FDE2,HDE2,FDC11,FDC3
Kaden,0,X2,FDC3,FDE2,FDC8,FDC4,HDC4,HDC1,HDE1,HDE4,FDE5,FDC9
Lily,0,X2,HDC1,FDC10,FDE4,HDE2,HDE4,FDC4,FDE3,HDC4,FDC3,FDC11
Mason,0,X2,HDE4,FDC1,FDC7,HDC2,FDC11,HDC1,FDC10,HDE2,FDE5,FDE2
Nora,0,X2,FDC8,FDE1,HDE4,FDC4,FDC6,FDE3,HDC3,HDE1,HDC4,FDC10
Oliver,0,X2,HDE3,FDC11,HDC2,FDC6,FDC5,FDE6,FDE4,HDC3,HDE4,FDC3
Penelope,0,X2,HDC4,FDE5,FDC1,HDE1,HDE4,HDC1,FDE3,FDC6,FDC11,FDC2
Quentin,0,X2,FDC11,HDC4,FDC7,FDC3,FDE3,HDE1,HDE3,FDE6,FDC8,HDC2
Rose,0,X2,HDE3,FDE1,FDC11,FDC4,HDC4,FDC9,HDE2,FDE4,HDC2,FDC2
Sebastian,0,X3,FDE2,FDC10,FDC9,FDE4,HDE1,HDC2,FDC5,FDC7,HDC4,HDE4
Tessa,0,X3,HDC4,HDC3,FDC11,FDE6,HDE4,FDE5,FDC8,HDE1,FDC1,FDC4
Uriel,0,X3,HDE4,FDE6,HDC2,HDC3,HDE2,FDC11,FDC3,FDE3,FDC1,FDC7
Violet,0,X3,FDC4,HDC4,FDC8,FDC10,FDC2,HDE3,HDC3,FDE4,FDE2,HDE1
William,0,X3,FDC7,HDC2,FDC5,FDC1,HDE2,FDE6,HDE4,HDC4,FDE1,FDC9
Xena,0,X3,HDE4,FDC7,HDC4,FDE1,HDC1,FDE3,FDC9,HDE3,FDC1,FDC10
Yosef,0,X3,HDC2,FDE3,FDC8,FDC10,HDC4,FDC11,HDE1,HDE3,FDE2,FDC1
Daniel,0,X3,HDE1,HDE3,FDC2,FDC9,FDC1,HDC2,FDE3,HDC4,FDE4,FDC7
Donald,0,X3,FDE2,FDC11,FDE1,HDE3,FDC1,HDC3,HDE2,FDC5,FDC4,HDC1
Zari,0,X3,FDC10,HDC3,FDC6,FDE5,HDE3,HDC2,FDE2,HDE2,FDC3,FDC4
Mohar,0,X3,HDE3,FDE5,FDE2,HDC3,FDC2,FDC5,FDC9,HDC1,FDC7,HDE1
Abdul,0,X3,FDC11,FDC5,HDE3,FDE5,FDE6,HDE1,FDC4,FDC6,HDC4,HDC1
