NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC7,FDC6,HDE1,HDC1,FDE5,FDC9,FDC8,FDE3,HDC2,HDE2
Bella,0,X1,FDC2,HDE2,FDC1,FDC10,FDE4,FDE3,HDC2,FDC5,HDC1,HDE3
Caleb,0,X1,HDC4,FDC4,FDC8,FDC7,HDE2,FDE1,FDC10,FDE3,HDE3,HDC1
Delilah,0,X1,HDE1,HDC1,FDC1,HDE2,FDE6,FDE4,HDC3,FDC5,FDC11,FDC2
Ethan,0,X1,FDC5,FDC3,HDC3,FDE2,FDC10,FDE3,HDE2,HDE3,FDC6,HDC4
Fiona,0,X1,HDC2,FDC9,FDC3,FDC10,FDE5,HDE1,HDE3,FDE2,FDC5,HDC3
Gabriel,0,X1,FDC1,FDC2,HDE3,FDC11,HDC2,FDE2,FDE6,HDE4,FDC9,HDC4
Hannah,0,X1,FDC3,HDE4,FDC1,FDE6,FDC5,HDC4,FDE1,HDE1,HDC3,FDC6
Isaac,0,X1,FDC7,HDC1,FDE2,HDC4,FDC6,FDC3,HDE1,FDE3,FDC10,HDE2
Jasmine,0,X1,FDC4,FDC2,HDE4,HDC1,FDE1,FDC5,HDC4,HDE2,FDC10,FDE6
Kaden,0,X2,FDE3,HDC4,FDC6,HDE1,FDC9,HDC1,FDC7,FDE5,FDC2,HDE2
Lily,0,X2,FDC7,FDC10,FDE2,FDC1,HDC2,HDE2,FDC5,HDC3,HDE1,FDE3
Mason,0,X2,FDC4,HDE1,FDC7,FDE5,FDC3,FDE6,HDC2,HDC4,HDE2,FDC8
Nora,0,X2,FDC9,HDE3,FDC6,FDC10,HDC2,FDC2,HDC4,HDE1,FDE4,FDE3
Oliver,0,X2,FDC4,FDE3,FDC3,FDC9,FDC2,HDE2,HDC3,FDE4,HDC2,HDE1
Penelope,0,X2,FDC2,FDC6,FDC4,FDE3,HDC1,FDC7,FDE5,HDE2,HDC3,HDE4
Quentin,0,X2,HDE4,HDC3,HDE2,FDE5,FDC11,FDC1,FDC8,FDE4,HDC1,FDC2
Rose,0,X2,FDC7,FDC11,HDC4,FDE4,FDE1,HDE1,FDC3,HDE2,HDC3,FDC6
Sebastian,0,X3,FDC1,HDC4,FDC3,FDC7,HDE2,FDE6,HDC2,HDE1,FDE1,FDC4
Tessa,0,X3,FDC5,HDE4,FDC3,FDC9,FDE3,FDC1,HDE3,HDC4,HDC1,FDE4
Uriel,0,X3,HDC2,FDC10,FDC9,FDE4,FDC1,HDE2,FDE3,HDC3,FDC6,HDE4
Violet,0,X3,HDE1,FDC4,HDC4,HDC1,FDE3,FDE1,HDE2,FDC2,FDC10,FDC3
William,0,X3,HDC3,FDE3,HDC4,FDE5,HDE3,HDE2,FDC6,FDC5,FDC10,FDC8
Xena,0,X3,FDE1,FDC1,HDC2,FDC2,HDE2,HDC1,FDC8,FDC7,FDE5,HDE3
Yosef,0,X3,HDE2,HDC2,HDC3,FDC6,HDE1,FDC4,FDE4,FDC1,FDE2,FDC8
Daniel,0,X3,HDE3,HDE1,FDC7,FDC11,HDC4,FDC10,HDC3,FDE2,FDE3,FDC5
Donald,0,X3,FDE5,HDE4,HDC2,FDC9,HDE2,HDC3,FDC7,FDE6,FDC1,FDC11
Zari,0,X3,HDE2,HDE3,HDC1,FDC9,FDE5,FDE2,FDC2,FDC10,HDC2,FDC7
Mohar,0,X3,FDC6,FDC5,FDC9,HDE1,FDE5,HDC2,FDE4,HDC3,HDE4,FDC1
Abdul,0,X3,HDC3,FDC8,FDE1,HDE2,HDC4,FDE4,FDC5,FDC1,FDC10,HDE1
