NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC11,HDE3,HDC3,FDC2,FDC3,HDE4,FDC10,HDC1,FDE3,FDE6
Bella,0,X1,FDC6,FDE1,HDE1,HDC2,FDE4,FDC9,FDC10,FDC2,HDC4,HDE4
Caleb,0,X1,FDE3,HDC2,HDE3,HDC3,FDC4,HDE1,FDE4,FDC10,FDC1,FDC9
Delilah,0,X1,HDC2,HDE4,HDE3,FDE1,FDC7,FDC9,FDC3,FDE4,FDC4,HDC4
Ethan,0,X1,FDC1,FDE4,HDE2,FDC10,FDE5,FDC4,HDC3,HDE4,HDC4,FDC11
Fiona,0,X1,FDC2,FDE5,HDC1,FDC5,HDE4,FDC6,HDC4,HDE3,FDE6,FDC10
Gabriel,0,X1,FDE6,HDC2,HDE4,FDC9,FDC4,HDC1,FDC2,HDE1,FDC1,FDE3
Hannah,0,X1,FDC3,FDE2,HDE3,HDC4,HDE4,FDE6,FDC2,FDC4,HDC2,FDC8
Isaac,0,X1,FDC9,FDE4,FDC7,FDC4,HDC4,FDC8,HDE1,HDE3,HDC1,FDE1
Jasmine,0,X1,FDE6,FDC7,FDC6,FDE5,HDE4,HDE1,HDC4,HDC3,FDC9,FDC1
Kaden,0,X2,FDE6,HDC1,FDC6,FDE5,FDC5,HDE1,FDC11,FDC8,HDC2,HDE3
Lily,0,X2,HDE3,FDC2,FDE6,HDE1,FDE1,HDC3,FDC10,FDC11,HDC4,FDC3
Mason,0,X2,FDC10,FDE1,HDC3,FDC3,FDE4,FDC9,HDC4,HDE1,FDC7,HDE2
Nora,0,X2,FDE6,HDE1,FDC11,FDC1,HDC3,HDE2,FDC3,FDC6,FDE4,HDC2
Oliver,0,X2,HDE1,FDC7,HDC2,FDE3,HDC4,FDE2,FDC8,FDC10,HDE4,FDC11
Penelope,0,X2,FDC4,HDC3,HDE1,FDC6,FDC5,FDC9,HDE2,HDC2,FDE2,FDE1
Quentin,0,X2,HDC4,FDC9,FDE6,HDE2,FDC6,FDE1,HDC1,HDE1,FDC5,FDC11
Rose,0,X2,HDC3,FDC8,FDE5,FDE2,HDE4,FDC10,FDC5,HDC1,HDE2,FDC3
Sebastian,0,X3,FDE5,FDC10,HDC2,FDC1,HDE4,HDE2,FDE6,HDC3,FDC7,FDC4
Tessa,0,X3,FDC1,FDC8,FDC4,FDC11,HDC1,HDE2,HDC4,FDE4,HDE1,FDE1
Uriel,0,X3,FDC9,FDC2,HDC3,FDC11,HDC4,FDC5,HDE4,HDE3,FDE3,FDE4
Violet,0,X3,FDC7,HDE2,FDE3,FDC6,FDC5,HDE3,HDC2,FDE2,FDC1,HDC4
William,0,X3,FDC8,HDE4,HDC3,HDE2,FDE3,HDC2,FDC7,FDC6,FDC3,FDE1
Xena,0,X3,HDE4,FDC1,HDC4,HDE2,HDC1,FDC7,FDC3,FDE6,FDC2,FDE4
Yosef,0,X3,FDC4,FDE1,HDC3,FDC9,HDE3,HDE1,HDC4,FDE5,FDC11,FDC7
Daniel,0,X3,FDE3,HDC2,FDE1,FDC5,FDC6,HDE2,FDC3,HDE4,HDC3,FDC10
Donald,0,X3,HDC2,FDC11,FDE4,HDC4,FDE6,HDE3,FDC7,FDC10,HDE4,FDC9
Zari,0,X3,HDC3,FDE2,FDC7,HDE4,FDC10,HDE2,HDC1,FDE6,FDC5,FDC6
Mohar,0,X3,FDE2,FDC11,HDC1,FDE6,FDC9,FDC4,HDC2,FDC1,HDE4,HDE1
Abdul,0,X3,HDE3,FDE2,FDE3,HDC2,FDC9,FDC6,FDC1,HDC1,FDC11,HDE4
