NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDC2,FDE5,HDC3,FDC3,FDE1,FDC8,HDE3,FDC2,HDE4,FDC10
Bella,0,X1,HDE4,FDE4,HDE3,HDC3,HDC4,FDE2,FDC8,FDC3,FDC5,FDC2
Caleb,0,X1,HDC2,HDE2,FDC5,FDE3,FDC9,HDC1,FDC8,FDE2,FDC6,HDE1
Delilah,0,X1,FDE5,FDE2,HDC4,HDE4,FDC9,HDE3,FDC10,HDC1,FDC7,FDC6
Ethan,0,X1,HDE2,FDC3,HDC2,HDC4,FDC11,FDC2,FDE6,FDE4,HDE1,FDC10
Fiona,0,X1,HDE2,FDC9,HDC1,FDE5,FDC10,HDE4,FDC6,FDC4,FDE1,HDC4
Gabriel,0,X1,FDC10,FDC5,FDE3,HDC4,FDC2,HDC1,HDE4,FDE5,HDE1,FDC9
Hannah,0,X1,HDC1,FDC8,FDC9,HDE2,FDC1,FDC10,HDC4,FDE4,HDE3,FDE2
Isaac,0,X1,FDC4,HDE3,HDE1,HDC1,FDE2,FDC11,FDE1,FDC6,HDC3,FDC10
Jasmine,0,X1,HDC3,HDE3,FDC7,FDC11,FDC6,FDC10,FDE6,HDC2,HDE2,FDE2
Kaden,0,X2,FDE1,HDC2,HDE3,FDE6,FDC10,HDE2,FDC9,FDC4,FDC11,HDC3
Lily,0,X2,FDC5,HDE2,HDC2,FDC11,FDE3,FDE4,HDC1,HDE1,FDC6,FDC7
Mason,0,X2,FDC7,FDE6,HDC1,HDC4,FDC8,HDE1,FDE1,FDC3,HDE4,FDC11
Nora,0,X2,HDE2,FDC2,FDE6,HDC1,FDC9,FDE4,HDC3,FDC8,HDE1,FDC11
Oliver,0,X2,HDC3,FDC10,FDE5,FDE3,FDC11,HDE4,FDC5,HDC2,FDC4,HDE1
Penelope,0,X2,HDE4,FDC2,FDC5,FDE1,HDC3,FDC1,FDE4,HDE1,HDC4,FDC11
Quentin,0,X2,FDC3,HDE4,FDC7,FDE1,HDE3,FDC6,FDE6,HDC4,HDC1,FDC11
Rose,0,X2,HDE3,FDC5,FDC10,FDE4,HDE2,FDE3,HDC4,FDC11,HDC3,FDC8
Sebastian,0,X3,HDC1,FDC8,FDC2,HDE1,FDE5,FDE6,HDC4,HDE2,FDC11,FDC1
Tessa,0,X3,HDC3,FDE4,FDC9,HDC2,HDE2,FDC11,FDC1,FDE6,HDE4,FDC5
Uriel,0,X3,FDC10,FDC11,HDC3,FDE2,HDC1,FDC8,HDE2,HDE4,FDC2,FDE5
Violet,0,X3,FDC1,HDE2,FDC3,HDE4,FDC11,FDE1,FDC5,FDE4,HDC1,HDC3
William,0,X3,FDC6,FDC5,HDC2,FDE1,HDC3,FDC9,FDC1,HDE2,HDE3,FDE4
Xena,0,X3,FDC1,FDE1,FDC5,FDC6,HDE1,FDC11,FDE2,HDC2,HDE3,HDC1
Yosef,0,X3,FDC11,FDC5,HDC4,FDC9,FDC8,HDE1,HDE4,FDE5,FDE2,HDC1
Daniel,0,X3,HDC2,FDE1,HDE3,FDC4,FDC7,FDC5,HDE1,FDC3,HDC4,FDE4
Donald,0,X3,FDC7,HDC2,FDC8,FDC5,FDC2,FDE1,FDE2,HDC1,HDE4,HDE2
Zari,0,X3,HDC2,FDC1,FDC6,HDE4,HDE3,FDC2,FDE3,HDC3,FDC7,FDE1
Mohar,0,X3,HDE3,HDC1,FDC5,FDE6,FDE1,FDC6,HDE2,FDC2,HDC2,FDC9
Abdul,0,X3,FDC8,FDE3,FDC10,HDE3,FDE4,HDC1,HDE2,FDC6,FDC7,HDC3
