NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDE5,HDC2,FDC6,FDC5,FDE6,HDE4,HDE3,FDC7,HDC3,FDC9
Bella,0,X1,FDC2,HDE3,FDE6,FDC7,HDC4,FDE3,FDC3,HDE1,FDC6,HDC2
Caleb,0,X1,FDC4,FDC5,FDE2,HDE4,HDC3,HDC4,FDE3,HDE3,FDC1,FDC10
Delilah,0,X1,FDC7,FDC5,HDC3,FDC3,FDE4,HDC1,HDE1,FDE6,HDE2,FDC10
Ethan,0,X1,HDC2,FDC9,FDE5,FDC3,HDE3,FDE1,FDC5,HDE4,FDC1,HDC4
Fiona,0,X1,FDE2,HDE3,HDC1,FDC3,FDC9,FDC10,HDC4,FDE6,HDE4,FDC7
Gabriel,0,X1,HDC3,FDC7,FDC4,HDE4,FDE4,HDC1,FDC2,FDC11,HDE1,FDE5
Hannah,0,X1,FDC4,HDC1,HDE2,FDC8,HDE3,FDC3,HDC4,FDE1,FDE5,FDC7
Isaac,0,X1,HDE2,FDE1,HDC2,FDC5,FDC9,FDC3,FDC6,HDC3,FDE6,HDE3
Jasmine,0,X1,HDC3,FDC11,FDE4,HDE2,FDC10,FDC2,FDE2,HDC4,FDC8,HDE4
Kaden,0,X2,FDC11,HDE4,FDE4,HDC4,FDC8,FDC7,HDE2,FDC4,HDC3,FDE5
Lily,0,X2,FDC6,HDE4,FDC9,HDC1,FDE5,HDC4,HDE2,FDC4,FDC11,FDE4
Mason,0,X2,FDC8,FDE2,FDE4,HDC3,HDC1,HDE4,HDE2,FDC2,FDC1,FDC6
Nora,0,X2,HDE2,HDE3,FDC5,FDE1,FDC9,HDC1,FDE3,FDC6,FDC3,HDC2
Oliver,0,X2,FDC2,HDC1,FDC6,FDE3,HDE1,HDC3,FDC8,HDE2,FDC1,FDE2
Penelope,0,X2,FDE2,FDC6,HDE4,HDE2,FDC3,FDC11,FDE5,HDC1,HDC3,FDC8
Quentin,0,X2,HDE2,FDE4,FDC9,HDE4,FDC8,FDC5,FDE6,FDC4,HDC3,HDC2
Rose,0,X2,FDE5,HDE2,FDC10,FDC5,HDC2,HDC3,FDC4,FDE1,HDE3,FDC11
Sebastian,0,X3,FDC4,HDC4,HDE3,FDE6,HDC3,FDC7,FDC8,FDE3,FDC5,HDE2
Tessa,0,X3,HDC4,FDC1,FDE5,FDE3,FDC10,HDE1,FDC7,HDE2,FDC3,HDC2
Uriel,0,X3,HDC1,HDC4,FDE1,FDC3,FDC8,FDC6,FDE3,HDE1,HDE4,FDC2
Violet,0,X3,FDC10,HDC2,HDE1,FDE4,FDC9,FDC4,HDC1,FDE1,HDE3,FDC11
William,0,X3,FDE2,HDC3,HDE3,FDC10,FDC9,HDC4,HDE2,FDC1,FDE6,FDC5
Xena,0,X3,HDE4,FDC8,HDE3,FDC3,FDE2,FDE5,HDC3,FDC5,HDC2,FDC11
Yosef,0,X3,HDC1,FDC7,HDE1,FDE3,HDE3,FDC2,FDC9,HDC4,FDC4,FDE4
Daniel,0,X3,HDC4,FDC3,FDE1,FDE3,HDC1,FDC10,HDE4,FDC2,FDC5,HDE3
Donald,0,X3,FDE1,FDC11,HDE4,HDC3,FDE6,FDC4,HDC4,FDC10,FDC9,HDE1
Zari,0,X3,HDC1,FDC11,HDE1,HDC4,FDC7,HDE3,FDE3,FDE2,FDC5,FDC1
Mohar,0,X3,FDC5,HDC3,HDE3,FDC10,HDE4,FDE4,FDE3,HDC2,FDC7,FDC1
Abdul,0,X3,FDE1,FDC2,HDE3,FDC7,HDE2,HDC4,HDC1,FDE6,FDC10,FDC6
