NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC10,FDE5,HDC1,FDC2,HDC4,HDE1,FDC1,FDC9,HDE2,FDE3
Bella,0,X1,HDE2,HDE3,FDC5,HDC2,HDC4,FDE6,FDC2,FDC10,FDC9,FDE4
Caleb,0,X1,FDC9,HDE3,HDC3,FDC3,FDC8,HDE2,FDC10,FDE1,HDC2,FDE3
Delilah,0,X1,HDE1,HDC3,FDE1,HDE3,FDC5,FDC2,FDC8,FDC4,FDE4,HDC1
Ethan,0,X1,FDC6,HDE1,FDC9,FDE5,HDE2,HDC3,FDE4,FDC8,FDC11,HDC1
Fiona,0,X1,FDE1,FDC7,HDE1,HDC3,FDC8,FDC3,FDC4,HDE4,FDE6,HDC2
Gabriel,0,X1,FDC5,FDE6,FDC9,FDC1,HDC4,HDE4,HDC1,HDE3,FDE3,FDC3
Hannah,0,X1,HDC1,FDC5,FDC11,FDE3,HDE4,HDE2,FDC2,HDC3,FDE1,FDC10
Isaac,0,X1,HDE1,FDC7,FDE2,FDE5,FDC6,HDC1,HDC3,HDE3,FDC10,FDC2
Jasmine,0,X1,FDE5,FDC10,HDC4,HDC1,FDE1,HDE1,FDC8,FDC2,HDE4,FDC11
Kaden,0,X2,FDC2,FDE2,FDE4,HDE2,HDC1,FDC4,HDC2,FDC5,FDC9,HDE1
Lily,0,X2,FDE6,FDC7,FDC4,FDC5,FDE2,HDE4,FDC8,HDC3,HDC4,HDE1
Mason,0,X2,HDC1,FDC4,HDE3,FDC9,FDC10,HDC2,FDE1,HDE2,FDE3,FDC2
Nora,0,X2,FDC9,FDC1,FDC11,FDE2,HDE1,HDC4,FDE1,HDC3,FDC10,HDE2
Oliver,0,X2,FDC10,HDE4,FDC1,HDE3,FDC6,HDC4,FDE1,FDC2,FDE2,HDC3
Penelope,0,X2,HDC3,FDE1,FDE4,HDE1,HDE4,FDC8,FDC1,HDC2,FDC5,FDC7
Quentin,0,X2,HDE1,FDE2,HDC2,HDC3,HDE3,FDC6,FDC7,FDC2,FDE1,FDC9
Rose,0,X2,FDE4,FDC6,HDC2,HDE2,HDC4,FDE3,FDC1,HDE1,FDC11,FDC4
Sebastian,0,X3,HDE3,HDC3,FDC1,FDC11,FDC7,FDC8,HDE1,HDC1,FDE1,FDE3
Tessa,0,X3,FDC5,FDC6,FDE5,HDC4,HDE4,FDE2,FDC3,HDC3,HDE2,FDC2
Uriel,0,X3,FDC9,FDC3,HDC3,FDE4,FDC10,HDC1,FDE2,HDE2,FDC11,HDE4
Violet,0,X3,FDC3,FDE4,HDE1,HDC3,HDC2,FDC6,FDE6,HDE4,FDC7,FDC1
William,0,X3,HDC1,FDC3,FDE3,FDC8,HDE2,HDE3,FDC10,FDC2,FDE2,HDC3
Xena,0,X3,HDE1,HDE3,FDC5,FDE1,FDC9,FDC2,HDC1,FDE6,HDC3,FDC10
Yosef,0,X3,FDC10,HDE2,HDC3,FDC8,HDE4,HDC4,FDC9,FDE2,FDE3,FDC7
Daniel,0,X3,FDC1,FDE2,HDE2,FDC4,HDC2,FDE1,HDE4,HDC4,FDC6,FDC11
Donald,0,X3,FDE6,FDC7,FDC3,HDE3,HDC2,FDC9,FDE5,HDC1,FDC4,HDE1
Zari,0,X3,FDC7,HDC4,FDE3,HDE2,FDE4,FDC5,HDC3,FDC2,HDE1,FDC4
Mohar,0,X3,HDC2,HDE1,FDC7,FDC4,FDE1,FDC2,FDE3,HDE3,FDC8,HDC4
Abdul,0,X3,HDE1,FDC4,FDE5,FDC7,FDE4,HDC1,FDC9,HDE2,HDC2,FDC2
