NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDE1,HDC4,FDC5,FDE5,FDC11,FDC3,HDE3,FDE1,HDC3,FDC7
Bella,0,X1,HDE4,FDC4,FDC9,HDC1,FDE6,FDC5,FDE1,FDC1,HDE2,HDC4
Caleb,0,X1,HDC3,FDC1,FDC9,HDE3,HDE1,FDE3,HDC2,FDE2,FDC3,FDC4
Delilah,0,X1,FDC11,FDC6,FDC8,HDE3,HDE4,FDC2,FDE6,HDC2,HDC1,FDE2
Ethan,0,X1,FDC7,HDE2,FDE3,FDE5,FDC4,HDE3,FDC11,FDC1,HDC4,HDC3
Fiona,0,X1,HDC2,FDE2,FDC3,FDC2,HDE1,HDC3,HDE2,FDC5,FDE3,FDC7
Gabriel,0,X1,FDC10,FDC1,FDE3,FDC5,FDE5,FDC3,HDC1,HDE2,HDE3,HDC3
Hannah,0,X1,FDC1,HDE1,FDC5,HDE3,FDC9,FDE3,HDC1,HDC4,FDE4,FDC11
Isaac,0,X1,HDC4,HDC3,FDE3,HDE1,HDE4,FDC6,FDC8,FDE6,FDC5,FDC7
Jasmine,0,X1,FDC11,FDE3,HDC4,FDC10,HDE2,FDE6,FDC7,HDE3,FDC5,HDC2
Kaden,0,X2,HDE2,FDC11,FDE5,FDC4,FDE4,HDC1,HDE3,FDC10,HDC3,FDC8
Lily,0,X2,FDC1,FDC9,HDC4,HDE1,HDC1,FDE6,FDE1,FDC11,HDE2,FDC2
Mason,0,X2,FDE1,HDE2,FDC11,FDC2,HDE1,FDC7,HDC1,FDC3,FDE5,HDC4
Nora,0,X2,FDC5,FDC4,HDC1,HDE1,HDE2,FDE5,HDC3,FDC2,FDE2,FDC9
Oliver,0,X2,FDE1,HDE1,FDC8,FDC2,HDE2,FDC4,FDC9,HDC3,HDC4,FDE4
Penelope,0,X2,FDC7,FDC8,HDC4,FDE3,FDE6,HDC3,HDE3,FDC4,HDE1,FDC11
Quentin,0,X2,HDE3,FDC7,HDC3,FDC10,FDE5,FDC9,FDC1,FDE1,HDE1,HDC1
Rose,0,X2,FDC6,HDC1,HDC3,FDE1,HDE4,FDC5,HDE1,FDC8,FDC3,FDE2
Sebastian,0,X3,HDC3,HDE4,FDE6,HDE1,FDE2,FDC3,FDC9,FDC6,HDC2,FDC4
Tessa,0,X3,FDC7,FDE1,HDC4,HDC3,HDE1,FDC1,HDE3,FDE3,FDC3,FDC5
Uriel,0,X3,FDE6,FDC8,FDC4,HDC3,FDC1,FDC7,HDE2,FDE2,HDC1,HDE1
Violet,0,X3,FDE4,HDC1,FDC3,HDE1,FDC10,FDE6,FDC8,HDC4,FDC7,HDE3
William,0,X3,HDE3,FDC11,FDC8,HDE2,HDC3,FDC1,FDE4,HDC1,FDC10,FDE2
Xena,0,X3,FDE6,HDE4,HDC2,HDC3,FDC9,FDC4,HDE3,FDE1,FDC7,FDC5
Yosef,0,X3,FDC9,FDC10,FDE5,FDE2,FDC11,HDE4,HDC1,HDE1,HDC4,FDC8
Daniel,0,X3,FDE2,FDC5,HDE4,HDE2,HDC3,FDC6,FDC1,FDC10,HDC2,FDE4
Donald,0,X3,HDE2,FDC11,FDC8,HDE3,FDE4,FDC7,FDC4,FDE3,HDC3,HDC1
Zari,0,X3,HDE2,FDC11,FDC1,FDC10,FDE3,FDC2,HDC2,HDC4,HDE1,FDE4
Mohar,0,X3,HDC4,FDC2,FDC5,HDE1,FDC1,FDE4,HDE3,HDC2,FDC3,FDE6
Abdul,0,X3,HDC2,FDC10,HDC1,HDE2,FDC4,FDE4,HDE3,FDE3,FDC6,FDC2
