NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC7,HDE3,FDC3,HDE2,FDE6,HDC3,HDC4,FDC8,FDC9,FDE2
Bella,0,X1,FDC8,FDC1,HDE2,FDC7,HDC3,HDC4,FDC5,HDE1,FDE1,FDE3
Caleb,0,X1,FDC3,HDE2,HDE3,FDE4,FDC2,FDC5,HDC3,FDE2,FDC9,HDC2
Delilah,0,X1,FDC3,HDC3,HDE4,FDC11,FDC4,FDE3,HDE2,FDC9,FDE1,HDC4
Ethan,0,X1,HDE4,FDE5,FDE2,HDE1,FDC11,FDC2,FDC8,FDC10,HDC1,HDC4
Fiona,0,X1,FDE6,HDC4,HDC2,FDC9,HDE4,FDC7,FDC8,FDC3,FDE5,HDE2
Gabriel,0,X1,FDC2,FDE6,FDC4,HDC3,HDC1,HDE4,FDC11,FDE2,FDC6,HDE3
Hannah,0,X1,HDE1,FDC8,FDC7,FDC9,HDE3,HDC4,HDC3,FDE6,FDC4,FDE1
Isaac,0,X1,FDC4,FDC1,HDC3,FDC6,HDC1,FDE3,FDE1,HDE4,FDC3,HDE2
Jasmine,0,X1,FDC1,HDE4,FDC7,FDC2,HDC2,FDE3,FDC9,HDC4,HDE1,FDE6
Kaden,0,X2,FDC7,FDE4,HDE1,FDE3,HDC1,FDC2,HDE4,HDC2,FDC11,FDC8
Lily,0,X2,FDC7,FDE6,HDE1,FDC3,HDE4,FDC10,FDE3,FDC11,HDC3,HDC4
Mason,0,X2,HDE4,FDE3,FDC5,HDC4,FDC8,FDC6,HDE1,FDE1,HDC1,FDC11
Nora,0,X2,HDE3,FDE4,FDC10,FDC9,HDC4,FDE2,FDC11,HDC3,FDC8,HDE4
Oliver,0,X2,FDE2,FDC7,HDE2,FDC2,FDC8,HDC4,HDC2,HDE4,FDC5,FDE3
Penelope,0,X2,FDE3,HDE3,FDC3,FDE2,FDC4,FDC7,HDC3,FDC2,HDE2,HDC1
Quentin,0,X2,FDC7,FDC6,HDC1,FDC5,HDE1,FDE1,HDE2,HDC4,FDC8,FDE6
Rose,0,X2,HDC3,FDC5,FDC2,FDE4,HDE1,FDC9,HDC2,FDC7,FDE6,HDE3
Sebastian,0,X3,FDE1,FDC3,FDE6,FDC10,FDC7,HDC1,HDC3,HDE1,HDE2,FDC1
Tessa,0,X3,FDC11,FDC9,FDC10,HDE4,FDC2,FDE2,FDE3,HDC2,HDE2,HDC1
Uriel,0,X3,HDE1,FDC10,HDC3,FDC9,FDE1,FDC8,FDE2,FDC5,HDE2,HDC2
Violet,0,X3,FDE3,FDE2,FDC1,HDE4,FDC10,HDE2,HDC2,FDC2,HDC4,FDC4
William,0,X3,HDE4,HDC1,FDC4,FDC10,HDC4,FDC8,FDC7,FDE6,HDE1,FDE2
Xena,0,X3,FDE3,FDC7,HDC2,HDE3,FDE2,HDC4,HDE1,FDC9,FDC3,FDC4
Yosef,0,X3,HDE2,HDC4,HDE3,FDC5,FDE5,FDE3,FDC8,FDC2,FDC11,HDC3
Daniel,0,X3,HDE1,FDC5,FDC8,FDC2,FDE4,HDC2,FDC1,HDC1,FDE3,HDE3
Donald,0,X3,FDC3,FDC8,FDC6,HDE1,HDC3,FDC1,FDE3,FDE1,HDE3,HDC2
Zari,0,X3,HDC2,FDC4,FDC5,HDC1,HDE2,FDC10,FDE4,HDE4,FDE2,FDC11
Mohar,0,X3,FDC2,FDE4,HDC4,HDE2,FDC1,HDE1,HDC2,FDC6,FDE2,FDC3
Abdul,0,X3,HDC3,HDE1,HDC2,FDC5,FDC4,FDC10,HDE3,FDE1,FDC11,FDE6
