NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDC1,FDE4,FDC7,FDC5,FDC6,HDE3,FDC10,HDC3,FDE1,HDE2
Bella,0,X1,FDC3,FDE4,HDE4,FDC1,HDE2,FDC10,FDC7,HDC1,HDC4,FDE5
Caleb,0,X1,HDC2,HDE1,FDC2,FDE2,FDC1,FDE6,HDE3,FDC4,FDC7,HDC4
Delilah,0,X1,HDC4,FDC7,FDE2,FDC11,HDC2,FDE4,FDC5,HDE3,FDC9,HDE1
Ethan,0,X1,FDC9,FDE6,FDC2,FDC11,FDC7,HDE1,HDC3,HDC1,HDE2,FDE5
Fiona,0,X1,HDC1,FDE5,FDE3,FDC11,FDC7,HDE1,FDC10,HDC2,FDC9,HDE2
Gabriel,0,X1,FDC2,HDC2,FDC7,FDC3,FDE6,FDC11,HDE1,FDE2,HDE2,HDC1
Hannah,0,X1,HDC3,FDC11,FDC1,FDC6,HDC4,FDE2,HDE1,FDC7,FDE3,HDE2
Isaac,0,X1,FDC1,FDE3,HDE1,HDC4,FDC10,HDE2,HDC1,FDE1,FDC9,FDC4
Jasmine,0,X1,HDC2,HDC1,HDE1,FDC1,FDE2,FDC5,HDE3,FDC7,FDE3,FDC2
Kaden,0,X2,FDC6,FDE3,HDC1,FDC5,FDC8,FDE5,HDE1,HDC2,HDE4,FDC11
Lily,0,X2,FDC7,HDE3,FDC11,HDE1,HDC1,FDE4,HDC2,FDC10,FDC1,FDE6
Mason,0,X2,FDC5,FDC2,FDE1,HDE1,FDC4,HDC2,HDE4,FDE4,HDC3,FDC8
Nora,0,X2,HDE3,HDE4,FDC6,HDC2,FDC7,FDE3,FDC5,HDC4,FDC8,FDE1
Oliver,0,X2,FDC6,HDC3,FDE6,FDC4,FDE1,FDC2,FDC8,HDC4,HDE3,HDE4
Penelope,0,X2,FDC11,FDC4,HDC2,HDE1,HDE2,FDC8,FDC6,FDE2,FDE3,HDC1
Quentin,0,X2,FDE2,FDC6,HDC2,FDC2,HDC4,HDE1,FDE3,HDE2,FDC4,FDC10
Rose,0,X2,FDC3,FDC9,FDE6,FDC1,HDE3,FDC7,HDE1,HDC2,HDC1,FDE4
Sebastian,0,X3,HDC4,HDC1,FDC6,FDC3,FDC11,HDE2,HDE3,FDE1,FDC10,FDE2
Tessa,0,X3,FDC7,HDC1,FDE4,FDE6,FDC6,HDE4,FDC8,HDC2,HDE1,FDC10
Uriel,0,X3,HDC2,HDE3,FDC4,FDC1,HDC3,FDC10,HDE1,FDE5,FDC11,FDE2
Violet,0,X3,FDC6,HDC2,FDE6,HDC4,FDC5,FDC10,FDC1,HDE1,HDE4,FDE1
William,0,X3,HDE1,FDE3,HDC3,HDC1,FDC6,FDC8,FDC1,HDE3,FDE2,FDC7
Xena,0,X3,HDE2,FDC7,HDC1,FDC1,FDC8,HDC3,FDE5,FDC3,FDE6,HDE1
Yosef,0,X3,HDC3,FDC1,HDE2,FDE6,HDE1,FDC7,FDC10,FDC2,HDC1,FDE2
Daniel,0,X3,HDC3,HDE2,FDE6,FDC7,HDE1,HDC4,FDE3,FDC6,FDC1,FDC5
Donald,0,X3,FDE3,HDC3,FDC2,FDE4,FDC1,FDC4,HDE2,FDC11,HDE4,HDC2
Zari,0,X3,HDC1,FDC10,FDC9,FDC8,HDE4,HDE2,FDE3,HDC4,FDC3,FDE5
Mohar,0,X3,HDE2,HDC4,HDE3,FDE4,FDC10,HDC2,FDC4,FDC3,FDC8,FDE5
Abdul,0,X3,HDC4,HDC2,FDC2,FDC6,FDC1,FDE3,FDC3,FDE4,HDE3,HDE1
