NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDC4,FDC11,FDC2,HDE1,HDC1,HDE3,FDE1,FDC1,FDC4,FDE4
Bella,0,X1,FDE4,FDE1,HDC3,FDC3,HDC1,HDE4,FDC10,FDC5,HDE2,FDC9
Caleb,0,X1,FDC8,HDE1,FDC4,FDE4,FDC9,FDE2,HDE3,HDC1,HDC3,FDC1
Delilah,0,X1,FDC3,HDC1,FDC8,FDE2,HDE3,FDE5,FDC11,HDE1,FDC2,HDC4
Ethan,0,X1,HDE1,FDC7,FDE6,HDE4,FDE4,HDC4,FDC1,FDC6,FDC5,HDC2
Fiona,0,X1,HDE2,FDC7,HDE4,FDC2,FDC11,HDC4,FDE3,FDE4,HDC3,FDC6
Gabriel,0,X1,FDC5,FDE5,HDC3,FDC11,FDE3,HDC2,HDE1,FDC3,FDC1,HDE4
Hannah,0,X1,FDE3,HDC3,FDC2,FDC5,HDC2,FDC3,HDE2,FDC8,HDE3,FDE5
Isaac,0,X1,FDC2,FDE5,FDC6,HDC2,FDC10,FDC9,FDE6,HDE3,HDC3,HDE2
Jasmine,0,X1,FDE2,HDC1,HDC4,HDE2,HDE3,FDE1,FDC9,FDC7,FDC5,FDC6
Kaden,0,X2,HDC1,HDE3,FDC3,FDE1,FDC2,FDE2,HDC4,FDC7,HDE2,FDC10
Lily,0,X2,FDE2,HDE4,HDE2,HDC4,HDC1,FDE4,FDC10,FDC7,FDC2,FDC9
Mason,0,X2,FDC1,HDC3,FDE4,HDC4,HDE3,FDC11,HDE2,FDC8,FDE2,FDC3
Nora,0,X2,FDC11,HDE4,FDC4,FDC1,HDC3,FDE6,FDE5,HDC2,HDE1,FDC8
Oliver,0,X2,HDE1,HDC2,HDC3,FDE4,HDE2,FDC8,FDC11,FDC7,FDC9,FDE6
Penelope,0,X2,FDC4,HDE2,HDC1,FDC9,FDE5,FDE4,FDC7,FDC6,HDE3,HDC2
Quentin,0,X2,HDC2,FDE6,FDC1,HDE1,FDC7,HDE2,HDC4,FDC4,FDE4,FDC9
Rose,0,X2,HDE2,HDE3,FDE1,FDC7,FDC11,HDC1,FDC2,FDC1,HDC4,FDE2
Sebastian,0,X3,FDC3,FDE1,FDC5,HDC2,HDC3,FDE5,HDE4,FDC10,FDC4,HDE2
Tessa,0,X3,HDC2,FDE6,FDC8,HDE1,HDC1,HDE3,FDC4,FDC1,FDC3,FDE1
Uriel,0,X3,FDC4,HDE3,HDC2,HDE4,FDC1,FDC8,HDC3,FDC9,FDE6,FDE2
Violet,0,X3,HDE4,FDC8,FDE2,HDE3,HDC3,FDC3,FDC10,FDE6,HDC1,FDC6
William,0,X3,FDC10,FDE6,FDC6,HDE4,HDC4,HDC1,FDE3,FDC9,HDE1,FDC5
Xena,0,X3,HDC4,HDC3,FDC3,HDE1,FDC5,FDC2,FDE4,FDC11,FDE3,HDE4
Yosef,0,X3,FDC5,FDC9,FDC4,HDE3,HDE4,HDC1,FDE2,FDC6,HDC3,FDE4
Daniel,0,X3,HDC1,HDE1,FDC4,HDE4,FDC2,FDC1,FDE2,FDE3,HDC2,FDC11
Donald,0,X3,FDC7,HDE4,FDE6,HDE1,FDE1,FDC10,HDC1,HDC2,FDC9,FDC3
Zari,0,X3,FDE5,FDC7,FDC11,FDC3,HDC4,FDC4,HDC3,HDE4,FDE3,HDE2
Mohar,0,X3,FDC7,HDE2,FDC9,FDC2,HDC4,HDC1,FDE4,FDE5,FDC5,HDE3
Abdul,0,X3,HDE2,FDC9,FDE5,FDC10,HDC4,FDC7,FDC5,HDE3,HDC2,FDE6
