NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDE1,HDE4,FDC10,HDC1,HDC2,FDE1,FDC11,FDC6,FDC3,FDE6
Bella,0,X1,FDC2,HDC4,FDC10,HDE2,FDE4,HDC1,FDE3,FDC5,HDE1,FDC7
Caleb,0,X1,HDE4,FDC6,FDC2,HDC4,FDC9,HDE2,HDC2,FDE1,FDC10,FDE4
Delilah,0,X1,FDC3,FDE3,HDE4,FDE1,FDC5,FDC11,HDE1,FDC10,HDC4,HDC1
Ethan,0,X1,HDC2,HDC3,HDE2,FDE4,FDC9,FDC4,FDC11,FDC8,HDE3,FDE3
Fiona,0,X1,FDE3,HDC3,FDC9,FDC6,FDE1,HDE1,HDC1,HDE3,FDC11,FDC2
Gabriel,0,X1,FDC9,HDC4,HDE1,FDC3,FDE3,FDC8,FDE4,HDC1,FDC6,HDE3
Hannah,0,X1,FDC8,HDE4,HDE2,HDC3,HDC1,FDC1,FDE1,FDC4,FDE2,FDC2
Isaac,0,X1,FDC9,HDC1,HDE4,HDC3,FDE2,FDC1,FDC2,FDE6,FDC11,HDE1
Jasmine,0,X1,HDE2,HDC1,HDC2,FDC3,FDC6,FDE4,FDC7,FDC8,FDE1,HDE4
Kaden,0,X2,HDC4,FDC10,FDC5,HDC1,FDC2,FDE1,FDC4,FDE3,HDE1,HDE4
Lily,0,X2,FDC1,HDC3,HDE2,HDC4,FDC11,FDC9,HDE4,FDE5,FDE1,FDC3
Mason,0,X2,HDC3,FDC1,HDE1,FDE6,FDC8,HDC4,FDC5,FDE5,HDE2,FDC11
Nora,0,X2,HDC1,FDC3,HDE1,HDC2,FDE6,FDC11,HDE2,FDE5,FDC2,FDC9
Oliver,0,X2,HDC2,FDE3,FDC2,FDC1,FDC8,HDC1,HDE3,HDE2,FDC5,FDE1
Penelope,0,X2,FDE4,FDC8,HDE2,FDC9,HDC4,FDC2,HDE3,FDC11,FDE2,HDC3
Quentin,0,X2,HDE1,HDE2,FDC7,FDC10,HDC3,FDE5,FDC3,FDC1,HDC1,FDE2
Rose,0,X2,HDC1,FDC5,HDE4,FDC10,FDE6,HDE1,FDE2,HDC3,FDC9,FDC2
Sebastian,0,X3,HDC4,FDE2,HDE1,FDE6,FDC4,FDC10,HDC3,FDC6,FDC5,HDE4
Tessa,0,X3,FDC6,FDC8,HDC2,HDE3,HDC1,HDE4,FDC7,FDE1,FDC9,FDE5
Uriel,0,X3,HDC4,HDE3,FDC4,FDC2,FDE4,FDE5,HDE2,FDC11,FDC5,HDC2
Violet,0,X3,FDC10,FDC7,HDE2,HDE1,HDC3,FDE2,HDC4,FDC4,FDE6,FDC9
William,0,X3,FDC10,HDC4,FDE5,HDC3,FDC11,HDE4,FDC2,FDC3,HDE1,FDE6
Xena,0,X3,FDC10,HDE4,FDC2,FDE4,HDC3,FDC5,HDE2,HDC2,FDE2,FDC6
Yosef,0,X3,FDC8,HDC4,HDE3,FDE4,FDC5,HDE2,FDC7,FDE3,FDC10,HDC1
Daniel,0,X3,HDC3,FDC6,HDE2,HDE4,FDC11,HDC1,FDC2,FDE2,FDC5,FDE5
Donald,0,X3,FDC11,FDE2,FDC8,FDC3,HDC2,HDE3,FDC9,HDE4,FDE3,HDC3
Zari,0,X3,HDE4,HDC1,FDC4,HDC4,FDC3,FDC7,FDC8,HDE2,FDE5,FDE1
Mohar,0,X3,HDE4,HDC1,HDE2,FDC5,FDE6,FDC1,HDC2,FDE1,FDC3,FDC11
Abdul,0,X3,FDE5,HDC1,HDC3,FDE6,FDC10,FDC5,FDC1,HDE3,FDC4,HDE2
