NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,HDE3,FDC10,HDE4,FDC8,HDC3,HDC1,FDE3,FDC1,FDE1,FDC9
Bella,0,X1,FDC11,FDE1,HDE3,FDC1,HDC4,FDC10,FDC4,HDC2,FDE4,HDE4
Caleb,0,X1,HDC3,FDC11,FDE1,HDE3,FDE5,FDC10,FDC4,HDC1,HDE4,FDC3
Delilah,0,X1,FDE2,FDC6,FDE1,FDC10,FDC3,HDE2,HDE1,HDC1,FDC4,HDC3
Ethan,0,X1,FDE5,HDC3,FDC10,FDE3,FDC8,FDC11,HDE4,FDC5,HDC4,HDE1
Fiona,0,X1,FDC3,FDC9,HDE2,FDE1,HDE4,HDC4,FDE2,FDC7,FDC11,HDC1
Gabriel,0,X1,FDC3,HDC3,FDE1,HDE2,HDC4,FDC10,FDC9,HDE3,FDC2,FDE4
Hannah,0,X1,FDE2,FDC10,FDE1,HDC2,FDC3,HDE2,FDC2,FDC4,HDE4,HDC3
Isaac,0,X1,FDC7,HDE2,HDE3,FDC4,FDE4,FDE2,FDC1,HDC1,FDC9,HDC3
Jasmine,0,X1,FDC10,HDE1,HDC2,FDC5,FDC4,HDE4,FDE1,FDE6,HDC4,FDC6
Kaden,0,X2,FDC3,HDC2,HDE4,FDE6,FDE4,FDC11,FDC7,FDC8,HDC1,HDE2
Lily,0,X2,FDE1,HDE1,HDC4,FDC8,HDC2,FDE3,FDC10,FDC9,HDE3,FDC5
Mason,0,X2,FDE5,FDC3,FDE3,HDC1,FDC7,HDE1,HDE4,HDC3,FDC1,FDC5
Nora,0,X2,FDE1,HDE4,HDE3,HDC3,FDC2,FDC9,FDC6,HDC2,FDE5,FDC3
Oliver,0,X2,FDE2,HDC2,HDC1,FDC4,FDC9,FDC5,HDE1,HDE3,FDC11,FDE6
Penelope,0,X2,FDC5,FDC3,FDE4,HDC2,HDE2,FDC2,FDC7,HDC1,FDE3,HDE4
Quentin,0,X2,FDC5,HDC3,FDC6,FDE4,FDC3,HDE3,HDE1,FDE5,HDC1,FDC4
Rose,0,X2,FDC1,FDC9,HDC2,FDC11,FDC7,FDE2,HDE4,HDE1,FDE6,HDC1
Sebastian,0,X3,HDC4,HDE3,FDE5,FDC1,FDC3,HDC3,FDC10,FDC5,FDE6,HDE1
Tessa,0,X3,FDC8,FDC10,FDC7,HDC3,HDE4,FDC3,HDC4,FDE6,FDE3,HDE3
Uriel,0,X3,HDC4,FDC10,HDE4,HDE3,FDE4,HDC2,FDC8,FDE5,FDC11,FDC9
Violet,0,X3,FDC6,HDC1,HDE2,HDC3,FDE1,HDE4,FDC11,FDE6,FDC8,FDC7
William,0,X3,FDC1,HDC4,FDC2,FDE6,FDC4,HDC2,FDC8,FDE5,HDE2,HDE1
Xena,0,X3,HDC1,FDC5,HDE4,HDC4,FDE1,FDC6,FDE4,FDC7,HDE1,FDC4
Yosef,0,X3,FDE1,FDC1,HDC3,HDE4,FDC6,FDC4,HDC4,HDE2,FDC7,FDE3
Daniel,0,X3,FDC8,FDC10,FDE3,HDE2,FDE5,HDC2,HDC1,FDC5,FDC7,HDE1
Donald,0,X3,FDC5,HDE2,FDE5,FDE2,FDC2,HDC1,FDC3,HDE4,HDC4,FDC10
Zari,0,X3,HDC1,HDC3,FDC9,HDE2,HDE4,FDC4,FDE1,FDC10,FDE3,FDC1
Mohar,0,X3,FDC5,FDE2,FDC8,FDC3,FDE6,HDC2,FDC1,HDE4,HDC4,HDE3
Abdul,0,X3,FDC10,HDE1,FDC6,HDC2,HDC1,FDE2,FDC8,FDC3,HDE3,FDE5
